"","site_id","CellName","Quadrant","detector_model","detector_type","night","spp","n_calls","legacy_model","site_night"
"99","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-22,"EPFU",0,"SM2","Castlegar_NE|2025-06-22"
"100","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-22,"EUMA",0,"SM2","Castlegar_NE|2025-06-22"
"101","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-22,"LABO",0,"SM2","Castlegar_NE|2025-06-22"
"102","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-22,"LACI",0,"SM2","Castlegar_NE|2025-06-22"
"103","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-22,"LANO",3,"SM2","Castlegar_NE|2025-06-22"
"104","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-22,"MYCA",0,"SM2","Castlegar_NE|2025-06-22"
"105","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-22,"MYCI",1,"SM2","Castlegar_NE|2025-06-22"
"106","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-22,"MYEV",0,"SM2","Castlegar_NE|2025-06-22"
"107","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-22,"MYLU",2,"SM2","Castlegar_NE|2025-06-22"
"108","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-22,"MYSE",0,"SM2","Castlegar_NE|2025-06-22"
"109","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-22,"MYTH",0,"SM2","Castlegar_NE|2025-06-22"
"110","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-22,"MYVO",0,"SM2","Castlegar_NE|2025-06-22"
"111","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-22,"MYYU",0,"SM2","Castlegar_NE|2025-06-22"
"112","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-22,"PAHE",0,"SM2","Castlegar_NE|2025-06-22"
"113","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-23,"ANPA",0,"SM2","Castlegar_NE|2025-06-23"
"114","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-23,"COTO",0,"SM2","Castlegar_NE|2025-06-23"
"115","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-23,"EPFU",1,"SM2","Castlegar_NE|2025-06-23"
"116","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-23,"EUMA",0,"SM2","Castlegar_NE|2025-06-23"
"117","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-23,"LABO",0,"SM2","Castlegar_NE|2025-06-23"
"118","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-23,"LACI",3,"SM2","Castlegar_NE|2025-06-23"
"119","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-23,"LANO",1,"SM2","Castlegar_NE|2025-06-23"
"120","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-23,"MYCA",2,"SM2","Castlegar_NE|2025-06-23"
"121","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-23,"MYCI",0,"SM2","Castlegar_NE|2025-06-23"
"122","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-23,"MYEV",0,"SM2","Castlegar_NE|2025-06-23"
"123","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-23,"MYLU",9,"SM2","Castlegar_NE|2025-06-23"
"124","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-23,"MYSE",1,"SM2","Castlegar_NE|2025-06-23"
"125","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-23,"MYTH",0,"SM2","Castlegar_NE|2025-06-23"
"126","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-23,"MYVO",0,"SM2","Castlegar_NE|2025-06-23"
"127","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-23,"MYYU",0,"SM2","Castlegar_NE|2025-06-23"
"128","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-23,"PAHE",0,"SM2","Castlegar_NE|2025-06-23"
"129","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-16,"ANPA",1,"SM2","Castlegar_NE|2025-06-16"
"130","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-16,"COTO",2,"SM2","Castlegar_NE|2025-06-16"
"131","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-16,"EPFU",4,"SM2","Castlegar_NE|2025-06-16"
"132","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-16,"EUMA",0,"SM2","Castlegar_NE|2025-06-16"
"133","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-16,"LABO",1,"SM2","Castlegar_NE|2025-06-16"
"134","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-16,"LACI",1,"SM2","Castlegar_NE|2025-06-16"
"135","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-16,"LANO",2,"SM2","Castlegar_NE|2025-06-16"
"136","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-16,"MYCA",0,"SM2","Castlegar_NE|2025-06-16"
"137","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-16,"MYCI",3,"SM2","Castlegar_NE|2025-06-16"
"138","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-16,"MYEV",0,"SM2","Castlegar_NE|2025-06-16"
"139","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-16,"MYLU",13,"SM2","Castlegar_NE|2025-06-16"
"140","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-16,"MYSE",5,"SM2","Castlegar_NE|2025-06-16"
"141","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-16,"MYTH",0,"SM2","Castlegar_NE|2025-06-16"
"142","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-16,"MYVO",1,"SM2","Castlegar_NE|2025-06-16"
"143","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-16,"MYYU",0,"SM2","Castlegar_NE|2025-06-16"
"144","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-16,"PAHE",0,"SM2","Castlegar_NE|2025-06-16"
"145","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-17,"ANPA",0,"SM2","Castlegar_NE|2025-06-17"
"146","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-17,"COTO",0,"SM2","Castlegar_NE|2025-06-17"
"147","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-17,"EPFU",1,"SM2","Castlegar_NE|2025-06-17"
"148","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-17,"EUMA",0,"SM2","Castlegar_NE|2025-06-17"
"149","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-17,"LABO",1,"SM2","Castlegar_NE|2025-06-17"
"150","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-17,"LACI",3,"SM2","Castlegar_NE|2025-06-17"
"151","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-17,"LANO",0,"SM2","Castlegar_NE|2025-06-17"
"152","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-17,"MYCA",1,"SM2","Castlegar_NE|2025-06-17"
"153","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-17,"MYCI",0,"SM2","Castlegar_NE|2025-06-17"
"154","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-17,"MYEV",1,"SM2","Castlegar_NE|2025-06-17"
"155","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-17,"MYLU",5,"SM2","Castlegar_NE|2025-06-17"
"156","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-17,"MYSE",2,"SM2","Castlegar_NE|2025-06-17"
"157","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-17,"MYTH",0,"SM2","Castlegar_NE|2025-06-17"
"158","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-17,"MYVO",1,"SM2","Castlegar_NE|2025-06-17"
"159","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-17,"MYYU",3,"SM2","Castlegar_NE|2025-06-17"
"160","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-17,"PAHE",0,"SM2","Castlegar_NE|2025-06-17"
"161","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-18,"ANPA",1,"SM2","Castlegar_NE|2025-06-18"
"162","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-18,"COTO",2,"SM2","Castlegar_NE|2025-06-18"
"163","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-18,"EPFU",3,"SM2","Castlegar_NE|2025-06-18"
"164","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-18,"EUMA",0,"SM2","Castlegar_NE|2025-06-18"
