site_id,CellName,Quadrant,detector_model,detector_type,paired_detector,night,sppWA,n_calls,site_night
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-16,EUMA,0,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-16,LABO,0,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-16,LACI,1,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-16,LANO,1,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-16,MYCA,0,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-16,MYCI,1,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-16,MYEV,1,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-16,MYLU,6,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-16,MYSE,0,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-16,MYTH,0,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-16,MYVO,0,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-16,MYYU,0,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-16,PAHE,0,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-17,ANPA,0,Castlegar_NE|2025-06-17
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-17,COTO,0,Castlegar_NE|2025-06-17
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-17,EPFU,0,Castlegar_NE|2025-06-17
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-17,EUMA,0,Castlegar_NE|2025-06-17
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-17,LABO,0,Castlegar_NE|2025-06-17
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-17,LACI,12,Castlegar_NE|2025-06-17
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-17,LANO,1,Castlegar_NE|2025-06-17
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-17,MYCA,0,Castlegar_NE|2025-06-17
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-17,MYCI,0,Castlegar_NE|2025-06-17
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-17,MYEV,1,Castlegar_NE|2025-06-17
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-17,MYLU,4,Castlegar_NE|2025-06-17
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-17,MYSE,0,Castlegar_NE|2025-06-17
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-17,MYTH,0,Castlegar_NE|2025-06-17
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-17,MYVO,1,Castlegar_NE|2025-06-17
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-17,MYYU,1,Castlegar_NE|2025-06-17
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-17,PAHE,0,Castlegar_NE|2025-06-17
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-18,ANPA,2,Castlegar_NE|2025-06-18
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-18,COTO,1,Castlegar_NE|2025-06-18
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-18,EPFU,0,Castlegar_NE|2025-06-18
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-18,EUMA,0,Castlegar_NE|2025-06-18
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-18,LABO,0,Castlegar_NE|2025-06-18
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-18,LACI,0,Castlegar_NE|2025-06-18
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-18,LANO,2,Castlegar_NE|2025-06-18
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-18,MYCA,1,Castlegar_NE|2025-06-18
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-18,MYCI,0,Castlegar_NE|2025-06-18
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-18,MYEV,1,Castlegar_NE|2025-06-18
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-18,MYLU,8,Castlegar_NE|2025-06-18
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-18,MYSE,1,Castlegar_NE|2025-06-18
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-18,MYTH,0,Castlegar_NE|2025-06-18
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-18,MYVO,2,Castlegar_NE|2025-06-18
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-18,MYYU,1,Castlegar_NE|2025-06-18
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-18,PAHE,0,Castlegar_NE|2025-06-18
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-19,ANPA,5,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-19,COTO,0,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-19,EPFU,1,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-19,EUMA,0,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-19,LABO,0,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-19,LACI,0,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-19,LANO,1,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-19,MYCA,0,Castlegar_NE|2025-06-19
